
FIRST_PURCHASE_MONTH,'Month_0','Month_1','Month_2','Month_3','Month_4','Month_5','Month_6','Month_7','Month_8','Month_9','Month_10','Month_11','Month_12'
2010-12-01,66676,25436,25398,32723,24483,33929,34524,24225,22651,40927,55317,53117,18593
2011-01-01,18890,4158,5732,4638,8181,5995,5237,5611,5954,7679,11947,3417,
2011-02-01,17899,3783,6407,6048,2141,3212,4218,5130,6637,7497,2033,,
2011-03-01,14855,3884,6641,4626,3045,3109,6268,7160,9064,2190,,,
2011-04-01,9721,3012,2944,2041,2101,1798,2185,3608,460,,,,
2011-05-01,12767,2901,2812,2620,2132,2484,3032,890,,,,,
2011-06-01,9303,2560,1198,2225,3465,6772,650,,,,,,
2011-07-01,-632,1142,1160,938,1933,559,,,,,,,
2011-08-01,4994,62,-783,-2036,-707,,,,,,,,
2011-09-01,12110,1998,3212,1003,,,,,,,,,
2011-10-01,9670,3682,2202,,,,,,,,,,
2011-11-01,13651,3190,,,,,,,,,,,
2011-12-01,10046,,,,,,,,,,,,
