
COHORT,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
2010-12-01,945,358,313,367,340,375,360,336,333,371,354,473,260
2011-01-01,419,100,118,101,138,126,109,108,129,145,152,63,0
2011-02-01,380,93,73,106,102,91,96,108,97,119,35,0,0
2011-03-01,437,84,111,96,102,77,114,105,126,37,0,0,0
2011-04-01,299,68,65,63,62,72,69,78,25,0,0,0,0
2011-05-01,278,66,48,48,60,68,74,27,0,0,0,0,0
2011-06-01,234,49,44,64,58,79,24,0,0,0,0,0,0
2011-07-01,191,40,39,43,51,22,0,0,0,0,0,0,0
2011-08-01,169,42,42,43,23,0,0,0,0,0,0,0,0
2011-09-01,298,89,98,35,0,0,0,0,0,0,0,0,0
2011-10-01,350,93,46,0,0,0,0,0,0,0,0,0,0
2011-11-01,321,43,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,41,0,0,0,0,0,0,0,0,0,0,0,0
