
FIRST_PURCHASE_MONTH,'Month_0','Month_1','Month_2','Month_3','Month_4','Month_5','Month_6','Month_7','Month_8','Month_9','Month_10','Month_11','Month_12'
2010-12-01,1701,677,573,747,610,799,732,686,653,791,760,1130,395
2011-01-01,545,148,181,148,233,195,176,172,184,233,277,89,0
2011-02-01,473,135,113,162,141,131,123,164,134,187,40,0,0
2011-03-01,542,122,176,149,141,121,157,160,220,45,0,0,0
2011-04-01,385,109,91,78,83,91,94,120,32,0,0,0,0
2011-05-01,365,93,63,70,93,87,113,34,0,0,0,0,0
2011-06-01,296,70,57,91,79,129,30,0,0,0,0,0,0
2011-07-01,235,50,59,55,82,25,0,0,0,0,0,0,0
2011-08-01,203,59,70,69,26,0,0,0,0,0,0,0,0
2011-09-01,379,126,157,41,0,0,0,0,0,0,0,0,0
2011-10-01,453,165,56,0,0,0,0,0,0,0,0,0,0
2011-11-01,425,55,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,45,0,0,0,0,0,0,0,0,0,0,0,0
